Name,Gender,Count,Year
Jordan,M,10877,1989
Alex,M,6540,1989
Taylor,M,4857,1989
Riley,M,675,1989
Avery,M,469,1989
Taylor,F,7260,1990
Jordan,F,5956,1990
Alex,F,250,1990
Avery,F,250,1990
Riley,F,238,1990
Jordan,M,16135,1990
Alex,M,6945,1990
Taylor,M,6578,1990
Riley,M,815,1990
Avery,M,387,1990
Taylor,F,10255,1991
Jordan,F,5561,1991
Alex,F,369,1991
Avery,F,340,1991
Riley,F,286,1991
Jordan,M,16023,1991
Taylor,M,7972,1991
Alex,M,6674,1991
Riley,M,865,1991
Avery,M,400,1991
Taylor,F,14950,1992
Jordan,F,5366,1992
Avery,F,433,1992
Riley,F,424,1992
Alex,F,366,1992
Jordan,M,14032,1992
Taylor,M,8238,1992
Alex,M,7351,1992
Riley,M,1067,1992
Avery,M,470,1992
Taylor,F,21271,1993
Jordan,F,5824,1993
Riley,F,553,1993
Avery,F,453,1993
Alex,F,425,1993
Jordan,M,14754,1993
Taylor,M,7688,1993
Alex,M,7639,1993
Riley,M,1377,1993
Avery,M,933,1993
Taylor,F,20734,1994
Jordan,F,6258,1994
Riley,F,756,1994
Avery,F,517,1994
Alex,F,393,1994
Jordan,M,14159,1994
Alex,M,7240,1994
Taylor,M,6625,1994
Riley,M,1588,1994
Avery,M,1117,1994
Taylor,F,20425,1995
Jordan,F,6481,1995
Riley,F,969,1995
Avery,F,542,1995
Alex,F,440,1995
Jordan,M,13570,1995
Alex,M,7424,1995
Taylor,M,5520,1995
Riley,M,1918,1995
Avery,M,1195,1995
Taylor,F,19152,1996
Jordan,F,6298,1996
Riley,F,1150,1996
Avery,F,492,1996
Alex,F,352,1996
Jordan,M,13852,1996
Alex,M,6914,1996
Taylor,M,4795,1996
Riley,M,2393,1996
Avery,M,1180,1996
Taylor,F,19502,1997
Jordan,F,7166,1997
Riley,F,1669,1997
Avery,F,937,1997
Alex,F,322,1997
Jordan,M,14761,1997
Alex,M,6854,1997
Taylor,M,4332,1997
Riley,M,2833,1997
Avery,M,1173,1997
Taylor,F,18575,1998
Jordan,F,7113,1998
Riley,F,1877,1998
Avery,F,1242,1998
Alex,F,279,1998
Jordan,M,14409,1998
Alex,M,6953,1998
Taylor,M,3581,1998
Riley,M,3013,1998
Avery,M,1237,1998
Taylor,F,16905,1999
Jordan,F,5730,1999
Riley,F,2312,1999
Avery,F,1491,1999
Alex,F,278,1999
Jordan,M,13051,1999
Alex,M,6827,1999
Taylor,M,3071,1999
Riley,M,2970,1999
Avery,M,1368,1999
Taylor,F,15079,2000
Jordan,F,5809,2000
Riley,F,2552,2000
Avery,F,1831,2000
Alex,F,238,2000
Jordan,M,12168,2000
Alex,M,6748,2000
Riley,M,3421,2000
Taylor,M,2854,2000
Avery,M,1370,2000
Taylor,F,13692,2001
Jordan,F,5803,2001
Riley,F,3044,2001
Avery,F,2131,2001
Alex,F,219,2001
Jordan,M,10814,2001
Alex,M,6614,2001
Riley,M,3652,2001
Taylor,M,2309,2001
Avery,M,1401,2001
Taylor,F,11468,2002
Jordan,F,6152,2002
Riley,F,3906,2002
Avery,F,2589,2002
Alex,F,226,2002
Jordan,M,11152,2002
Alex,M,6806,2002
